,Unnamed: 0,place,lat,lon,dischargefile,cooling,fuel,f,c
0,105,1450,41.325,-73.975,726_1280.tsv,1,4,,
1,159,1561,34.425,-80.175,588_1156.tsv,2,4,,
2,614,2345,25.425,-80.325,408_1153.tsv,2,4,,
3,728,72929,35.275,-93.225,605_895.tsv,2,4,,
4,739,73098,40.625,-80.475,712_1150.tsv,2,4,,
5,747,73309,41.275,-88.175,725_996.tsv,2,4,,
6,751,73358,34.725,-87.125,594_1017.tsv,1,4,,
7,754,73422,42.075,-89.325,741_973.tsv,2,4,,
8,758,73480,38.675,-91.775,673_924.tsv,2,4,,
9,759,73485,38.425,-76.325,668_1233.tsv,1,4,,
10,776,73718,40.175,-88.825,703_983.tsv,2,4,,
11,783,73772,32.275,-97.775,545_804.tsv,2,4,,
12,785,73813,40.375,-95.675,707_846.tsv,1,4,,
13,794,73944,41.575,-83.075,731_1098.tsv,2,4,,
14,801,74075,41.375,-88.275,727_994.tsv,2,4,,
15,803,74091,42.125,-91.775,742_924.tsv,2,4,,
16,810,74182,31.925,-82.325,538_1113.tsv,2,4,,
17,820,74349,41.975,-83.175,739_1096.tsv,2,4,,
18,824,74417,41.525,-96.075,730_838.tsv,1,4,,
19,838,74674,32.025,-91.075,540_938.tsv,2,4,,
20,847,74819,35.575,-78.975,611_1180.tsv,2,4,,
21,858,74984,39.475,-75.525,689_1249.tsv,2,4,,
22,871,75075,41.275,-73.975,725_1280.tsv,1,4,,
23,879,75148,43.525,-76.375,770_1232.tsv,2,4,,
24,887,75205,31.225,-85.125,524_1057.tsv,2,4,,
25,894,75378,41.325,-88.675,726_986.tsv,2,4,,
26,898,75494,40.175,-75.525,703_1249.tsv,2,4,,
27,925,75962,45.325,-93.875,806_882.tsv,2,4,,
28,938,76186,43.525,-76.425,770_1231.tsv,2,4,,
29,957,76440,42.325,-86.325,746_1033.tsv,2,4,,
30,958,76444,33.375,-112.825,567_503.tsv,2,4,,
31,962,76505,39.725,-76.225,694_1235.tsv,1,4,,
32,963,76541,41.825,-81.125,736_1137.tsv,2,4,,
33,978,76730,44.625,-92.625,792_907.tsv,1,4,,
34,981,76780,41.725,-90.325,734_953.tsv,1,4,,
35,998,76915,30.725,-91.425,514_931.tsv,2,4,,
36,1008,77052,38.175,-95.725,663_845.tsv,2,4,,
37,1020,77243,35.625,-84.775,612_1064.tsv,2,4,,
38,1021,77255,30.025,-90.475,500_950.tsv,1,4,,
39,1027,77331,46.475,-119.275,829_374.tsv,2,4,,
40,1028,77351,33.175,-81.775,563_1124.tsv,2,4,,
41,1040,77627,40.175,-76.725,703_1225.tsv,2,4,,
42,1047,77747,41.075,-76.125,721_1237.tsv,2,4,,
43,1048,77749,37.175,-76.675,643_1226.tsv,1,4,,
44,1050,77769,34.275,-81.325,585_1133.tsv,2,4,,
45,1056,77938,28.825,-96.025,476_839.tsv,2,4,,
46,1063,78118,35.275,-85.075,605_1058.tsv,2,4,,
47,1070,78246,39.425,-75.525,688_1249.tsv,2,4,,
